group,start_date,lat,lon,volume
environmental,2024-10-01 10:01:35+00:00,43.714483175,10.404758025,4
environmental,2024-10-01 10:01:35+00:00,43.731880966666665,10.405950266666666,3
environmental,2024-10-02 10:01:35+00:00,43.714483175,10.404758025,4
environmental,2024-10-02 10:01:35+00:00,43.731880966666665,10.405950266666666,3
environmental,2024-10-03 10:01:35+00:00,43.7131604,10.405608125,4
environmental,2024-10-04 10:01:35+00:00,43.713054525,10.40556585,4
environmental,2024-10-05 10:01:35+00:00,43.713054525,10.40556585,4
environmental,2024-10-06 10:01:35+00:00,43.713054525,10.40556585,4
environmental,2024-10-07 10:01:35+00:00,43.713054525,10.40556585,4
environmental,2024-10-08 10:01:35+00:00,43.713054525,10.40556585,4
environmental,2024-10-09 10:01:35+00:00,43.713054525,10.40556585,4
environmental,2024-10-10 10:01:35+00:00,43.713054525,10.40556585,4
environmental,2024-10-11 10:01:35+00:00,43.723296000000005,10.392018533333333,3
environmental,2024-10-11 10:01:35+00:00,43.713054525,10.40556585,4
environmental,2024-10-12 10:01:35+00:00,43.723296000000005,10.392018533333333,3
environmental,2024-10-12 10:01:35+00:00,43.7128308,10.406684466666666,3
environmental,2024-10-13 10:01:35+00:00,43.723296000000005,10.392018533333333,3
environmental,2024-10-13 10:01:35+00:00,43.7128308,10.406684466666666,3
environmental,2024-10-14 10:01:35+00:00,43.723296000000005,10.392018533333333,3
environmental,2024-10-15 10:01:35+00:00,43.723296000000005,10.392018533333333,3
environmental,2024-10-16 10:01:35+00:00,43.723296000000005,10.392018533333333,3
environmental,2024-10-17 10:01:35+00:00,43.723296000000005,10.392018533333333,3
environmental,2024-11-11 10:01:35+00:00,43.731843266666665,10.406006766666666,3
environmental,2024-11-12 10:01:35+00:00,43.731843266666665,10.406006766666666,3
environmental,2024-11-13 10:01:35+00:00,43.731843266666665,10.406006766666666,3
environmental,2024-11-14 10:01:35+00:00,43.731843266666665,10.406006766666666,3
environmental,2024-11-15 10:01:35+00:00,43.731846175,10.405972625,4
environmental,2024-11-16 10:01:35+00:00,43.731846175,10.405972625,4
environmental,2024-11-17 10:01:35+00:00,43.731846175,10.405972625,4
environmental,2024-11-18 10:01:35+00:00,43.73184620000001,10.405957933333333,3
environmental,2024-11-19 10:01:35+00:00,43.732228025000005,10.404857725000001,4
environmental,2024-11-20 10:01:35+00:00,43.732228025000005,10.404857725000001,4
environmental,2024-11-21 10:01:35+00:00,43.732228025000005,10.404857725000001,4
environmental,2024-11-22 10:01:35+00:00,43.73121416,10.40481476,5
environmental,2024-11-23 10:01:35+00:00,43.73121416,10.40481476,5
environmental,2024-11-24 10:01:35+00:00,43.73105685,10.404521725,4
environmental,2024-11-25 10:01:35+00:00,43.731058525,10.404523025000001,4
environmental,2024-11-26 10:01:35+00:00,43.731058525,10.404523025000001,4
environmental,2024-11-27 10:01:35+00:00,43.730278780000006,10.404557100000002,5
environmental,2024-11-28 10:01:35+00:00,43.730278780000006,10.404557100000002,5
environmental,2024-11-29 10:01:35+00:00,43.729884750000004,10.404228825,4
environmental,2024-11-30 10:01:35+00:00,43.729884750000004,10.404228825,4
environmental,2024-12-01 10:01:35+00:00,43.729884750000004,10.404228825,4
environmental,2024-12-02 10:01:35+00:00,43.729884750000004,10.404228825,4
environmental,2024-12-02 10:01:35+00:00,43.718091425000004,10.411492825000002,4
environmental,2024-12-03 10:01:35+00:00,43.72872183333334,10.4051194,3
environmental,2024-12-03 10:01:35+00:00,43.718091425000004,10.411492825000002,4
environmental,2024-12-04 10:01:35+00:00,43.72872183333334,10.4051194,3
environmental,2024-12-05 10:01:35+00:00,43.72872183333334,10.4051194,3
environmental,2024-12-06 10:01:35+00:00,43.71771533333333,10.410294500000001,3
environmental,2024-12-07 10:01:35+00:00,43.73030286666667,10.405565533333332,3
environmental,2024-12-07 10:01:35+00:00,43.71771533333333,10.410294500000001,3
environmental,2024-12-08 10:01:35+00:00,43.73030286666667,10.405565533333332,3
environmental,2024-12-08 10:01:35+00:00,43.71771533333333,10.410294500000001,3
environmental,2024-12-09 10:01:35+00:00,43.71771533333333,10.410294500000001,3
environmental,2024-12-10 10:01:35+00:00,43.71771533333333,10.410294500000001,3
environmental,2024-12-11 10:01:35+00:00,43.71771533333333,10.410294500000001,3
environmental,2024-12-12 10:01:35+00:00,43.71771533333333,10.410294500000001,3
environmental,2024-12-13 10:01:35+00:00,43.71743085000001,10.409959475,4
environmental,2024-12-13 10:01:35+00:00,43.73187693333333,10.405975733333333,3
environmental,2024-12-14 10:01:35+00:00,43.71743085000001,10.409959475,4
